scene,objective,predictor,target,seed,lr,FP,outside,n_eval,final_loss,rmse_interior,optimizer_gap,settle_frac,pred_std,collapsed,failed
fronto_d2.0,position+conf_noclip,cnn_small,mixed,1004,0.01,0.2708333333333333,0.7291666666666666,96,-0.26375123858451843,0.0001411861056130087,nan,0.0013195276260375977,0.9775868423636412,False,False
fronto_d2.0,position+conf_noclip,cnn_small,mixed,1005,0.01,0.28125,0.71875,96,-0.26808732748031616,0.0004050440939916391,nan,0.0012704133987426758,0.9775589492163582,False,False
fronto_d2.0,position+conf_noclip,cnn_small,mixed,1006,0.01,0.0,1.0,96,0.11351500451564789,1.2591692683578375,nan,5.9604644775390625e-06,0.0,True,True
fronto_d2.0,position+conf_noclip,cnn_small,mixed,1007,0.01,0.2916666666666667,0.7083333333333334,96,-0.2602904438972473,6.366588662520279e-05,nan,0.0007413625717163086,0.977607716345948,False,False
fronto_d2.0,position+conf_noclip,cnn_small,mixed,1008,0.01,0.2708333333333333,0.7291666666666666,96,-0.24798022210597992,2.894775216826526e-05,nan,0.0028486251831054688,0.9775901600721144,False,False
fronto_d2.0,position+conf_noclip,cnn_small,mixed,1009,0.01,0.28125,0.71875,96,-0.2858329713344574,6.765350063098465e-05,nan,0.0017867088317871094,0.9776581990805981,False,False
fronto_d2.0,position+conf_noclip,cnn_large,clean,1000,0.01,0.1875,0.8125,96,-0.09207343310117722,0.0056768572552306235,nan,0.007414102554321289,0.9760305547525161,False,False
fronto_d2.0,position+conf_noclip,cnn_large,clean,1001,0.01,0.052083333333333336,0.9479166666666666,96,-0.11624284088611603,0.00035589365336954806,nan,0.00290524959564209,0.9812421996395342,False,False
fronto_d2.0,position+conf_noclip,cnn_large,clean,1002,0.01,0.03125,0.96875,96,-0.2294643670320511,0.00042430429114528233,nan,0.0024472475051879883,0.9814634375929138,False,False
fronto_d2.0,position+conf_noclip,cnn_large,clean,1003,0.01,0.0,1.0,96,0.15591269731521606,1.259166866686543,nan,3.886222839355469e-05,0.0,True,True
fronto_d2.0,position+conf_noclip,cnn_large,clean,1004,0.01,0.14583333333333334,0.8541666666666666,96,-0.16435867547988892,0.0021011268876763253,nan,0.005103111267089844,0.9801600031205461,False,False
