scene,objective,predictor,target,seed,lr,final_loss,rmse_interior,optimizer_gap,settle_frac,pred_std,collapsed,failed
fronto_d1.0,position_squared,cnn_large,clean,901,0.001,0.00019859713211189955,0.0011236201204709148,nan,0.0011837482452392578,0.4911477786950368,False,False
fronto_d1.0,position_squared,cnn_large,clean,901,0.0003,0.0007757725543342531,0.0037712537611031224,nan,0.0023195743560791016,0.4902814973478152,False,False
fronto_d1.0,position_squared,cnn_large,mixed,900,0.01,9.391297680849675e-06,0.0008394380590396304,nan,0.00029778480529785156,0.48887948151145316,False,False
fronto_d1.0,position_squared,cnn_large,mixed,900,0.003,1.6749621863709763e-05,0.0010835636788133942,nan,0.0002951622009277344,0.48891403956916885,False,False
fronto_d1.0,position_squared,cnn_large,mixed,900,0.001,2.5480452677584253e-05,0.0015139903655278313,nan,0.0006215572357177734,0.4888365641742747,False,False
fronto_d1.0,position_squared,cnn_large,mixed,900,0.0003,0.00024209535331465304,0.004800725865375391,nan,0.0015659332275390625,0.4883873152445378,False,False
fronto_d1.0,position_squared,cnn_large,mixed,901,0.01,2.3165022867033258e-05,0.0016184214156982893,nan,0.0003800392150878906,0.48878638696203336,False,False
fronto_d1.0,position_squared,cnn_large,mixed,901,0.003,1.7578420738573186e-05,0.0007401044185276642,nan,0.0003991127014160156,0.4888742157430808,False,False
fronto_d1.0,position_squared,cnn_large,mixed,901,0.001,1.2872211300418712e-05,0.0009194113962358331,nan,0.0002970695495605469,0.48886944347405753,False,False
fronto_d1.0,position_squared,cnn_large,mixed,901,0.0003,0.00017797875625547022,0.004069746103494703,nan,0.0014917850494384766,0.4885460392847213,False,False
k3_d2.0,position,cnn_small,clean,900,0.01,0.004091360606253147,5.9793716840065925e-05,nan,0.0014812946319580078,0.9343491066954631,False,False
k3_d2.0,position,cnn_small,clean,900,0.003,0.006197294685989618,0.0001453655615824645,nan,0.0007364749908447266,0.9345259237209048,False,False
k3_d2.0,position,cnn_small,clean,900,0.001,0.008136829361319542,0.00014977469165822354,nan,0.0007332563400268555,0.9340521819625884,False,False
k3_d2.0,position,cnn_small,clean,900,0.0003,0.019863344728946686,0.0006790806902188883,nan,0.0004010200500488281,0.9309262972666849,False,False
k3_d2.0,position,cnn_small,clean,901,0.01,0.004488675855100155,0.00027585737050062455,nan,0.0010650157928466797,0.9344819017268106,False,False
k3_d2.0,position,cnn_small,clean,901,0.003,0.007649781182408333,0.00022472565202435744,nan,0.0010236501693725586,0.9341739419933675,False,False
k3_d2.0,position,cnn_small,clean,901,0.001,0.00970835518091917,0.00046031902846503745,nan,0.0003873109817504883,0.9331885486609574,False,False
k3_d2.0,position,cnn_small,clean,901,0.0003,0.0189284086227417,0.0006125511026770897,nan,0.0002886056900024414,0.929738111812836,False,False
k3_d2.0,position,cnn_small,mixed,900,0.01,0.0011219395091757178,3.540288575951426e-05,nan,0.0004363059997558594,0.9328717543074745,False,False
k3_d2.0,position,cnn_small,mixed,900,0.003,0.0010487345280125737,0.00013780691947358207,nan,0.00034159421920776367,0.9329293679222346,False,False
k3_d2.0,position,cnn_small,mixed,900,0.001,0.0038293609395623207,0.0003107338833984433,nan,0.0008230209350585938,0.9322984539587437,False,False
k3_d2.0,position,cnn_small,mixed,900,0.0003,0.011993550695478916,0.0006049805166676173,nan,0.00023043155670166016,0.9300411248223772,False,False
k3_d2.0,position,cnn_small,mixed,901,0.01,0.0008965451852418482,0.00016123044026058415,nan,0.001034557819366455,0.9330337560183135,False,False
k3_d2.0,position,cnn_small,mixed,901,0.003,0.0014964042929932475,0.000256414657493384,nan,0.001069784164428711,0.932945896446433,False,False
k3_d2.0,position,cnn_small,mixed,901,0.001,0.0022597620263695717,0.001018152826103864,nan,0.0007791519165039062,0.9327950270225192,False,False
k3_d2.0,position,cnn_small,mixed,901,0.0003,0.014493739232420921,0.002684454239055793,nan,0.00040030479431152344,0.9287984743596507,False,False
k3_d2.0,position,cnn_large,clean,900,0.01,0.008110162802040577,0.001996022724659077,nan,0.0016707181930541992,0.9333817172190269,False,False
k3_d2.0,position,cnn_large,clean,900,0.003,0.004834326449781656,0.0012432093338230344,nan,0.001316070556640625,0.9342655602098827,False,False
k3_d2.0,position,cnn_large,clean,900,0.001,0.005288504064083099,0.0011642293562836583,nan,0.0019903182983398438,0.9342930661994335,False,False
k3_d2.0,position,cnn_large,clean,900,0.0003,0.018847519531846046,0.0030652496366688152,nan,0.0005278587341308594,0.9329235459964856,False,False
k3_d2.0,position,cnn_large,clean,901,0.01,0.02632935903966427,0.010193296513720619,nan,0.0015528202056884766,0.9281769639149043,False,False
k3_d2.0,position,cnn_large,clean,901,0.003,0.005014184396713972,0.0007395701150500389,nan,0.00467991828918457,0.9352392907867778,False,False
k3_d2.0,position,cnn_large,clean,901,0.001,0.00896264798939228,0.001251882252407498,nan,0.004263877868652344,0.933232851941173,False,False
k3_d2.0,position,cnn_large,clean,901,0.0003,0.021893281489610672,0.003933438784590827,nan,0.0012388229370117188,0.9293772047673836,False,False
k3_d2.0,position,cnn_large,mixed,900,0.01,0.003247468266636133,0.0012109526214388346,nan,0.001122117042541504,0.9327720232947792,False,False
k3_d2.0,position,cnn_large,mixed,900,0.003,0.0020343023352324963,0.0012640594390032798,nan,0.0009719133377075195,0.9326951754759394,False,False
k3_d2.0,position,cnn_large,mixed,900,0.001,0.0042555928230285645,0.0015891655297474215,nan,0.0009922981262207031,0.9326483535758174,False,False
k3_d2.0,position,cnn_large,mixed,900,0.0003,0.013095981441438198,0.0025162799480603175,nan,0.0005968809127807617,0.9306548850588278,False,False
k3_d2.0,position,cnn_large,mixed,901,0.01,0.0014036205830052495,0.0007440377050609252,nan,0.0008578300476074219,0.9328607919743771,False,False
k3_d2.0,position,cnn_large,mixed,901,0.003,0.0034835156984627247,0.0016824010637618975,nan,0.0023239850997924805,0.9322122698204574,False,False
k3_d2.0,position,cnn_large,mixed,901,0.001,0.005115789826959372,0.000994917289288084,nan,0.0010673999786376953,0.9317957412969974,False,False
k3_d2.0,position,cnn_large,mixed,901,0.0003,0.015649868175387383,0.002334647100006933,nan,0.001152634620666504,0.9284062321736374,False,False
k3_d2.0,position+grad,cnn_small,clean,900,0.01,0.00735646253451705,7.069853631125324e-05,nan,0.0015594959259033203,0.9350923722496901,False,False
k3_d2.0,position+grad,cnn_small,clean,900,0.003,0.017589228227734566,8.175011413950036e-05,nan,0.0006684660911560059,0.9348466080520436,False,False
k3_d2.0,position+grad,cnn_small,clean,900,0.001,0.02386137656867504,0.00032313327800950146,nan,0.0002372264862060547,0.9346827621594922,False,False
k3_d2.0,position+grad,cnn_small,clean,900,0.0003,0.02641395851969719,0.0002698146815301929,nan,0.00015687942504882812,0.9341187255350379,False,False
k3_d2.0,position+grad,cnn_small,clean,901,0.01,0.013993027620017529,6.528905406236178e-05,nan,0.0006289482116699219,0.9344851316779074,False,False
k3_d2.0,position+grad,cnn_small,clean,901,0.003,0.019742239266633987,0.00011417128298840638,nan,0.00035071372985839844,0.9342500538527259,False,False
k3_d2.0,position+grad,cnn_small,clean,901,0.001,0.025624673813581467,0.00016013800634575773,nan,0.00024199485778808594,0.933887654546758,False,False
k3_d2.0,position+grad,cnn_small,clean,901,0.0003,0.03728346526622772,0.0002541568966634043,nan,0.0004597902297973633,0.9318636663371017,False,False
k3_d2.0,position+grad,cnn_small,mixed,900,0.01,0.0020857842173427343,5.5785559440099764e-05,nan,0.0005512237548828125,0.9330152912620294,False,False
k3_d2.0,position+grad,cnn_small,mixed,900,0.003,0.0021722291130572557,0.00011962327227989999,nan,0.0005584955215454102,0.93301471725582,False,False
k3_d2.0,position+grad,cnn_small,mixed,900,0.001,0.0034327497705817223,0.0002270773408477823,nan,0.0005097389221191406,0.9330420380181415,False,False
k3_d2.0,position+grad,cnn_small,mixed,900,0.0003,0.005062348209321499,0.00027469753866871913,nan,0.0002884864807128906,0.932813994106688,False,False
k3_d2.0,position+grad,cnn_small,mixed,901,0.01,0.001898639602586627,3.367907403608615e-05,nan,0.0009593963623046875,0.9330990243018866,False,False
k3_d2.0,position+grad,cnn_small,mixed,901,0.003,0.0028455788269639015,7.033450415778713e-05,nan,0.0006568431854248047,0.9330052180759172,False,False
k3_d2.0,position+grad,cnn_small,mixed,901,0.001,0.0035059163346886635,0.00015519860321754292,nan,9.512901306152344e-05,0.9329179528263075,False,False
k3_d2.0,position+grad,cnn_small,mixed,901,0.0003,0.008204933255910873,0.000399570806154965,nan,0.00034105777740478516,0.9313644273064199,False,False
k3_d2.0,position+grad,cnn_large,clean,900,0.01,0.024470163509249687,0.0011287840176550717,nan,0.003021240234375,0.9336263078576879,False,False
k3_d2.0,position+grad,cnn_large,clean,900,0.003,0.010357039049267769,0.0010612097806113113,nan,0.002668619155883789,0.9348661886196485,False,False
k3_d2.0,position+grad,cnn_large,clean,900,0.001,0.017125999554991722,0.0006826368728432775,nan,0.0018324851989746094,0.9344560099991636,False,False
k3_d2.0,position+grad,cnn_large,clean,900,0.0003,0.039715126156806946,0.0012479885361909074,nan,0.0014744997024536133,0.9329239513451734,False,False
k3_d2.0,position+grad,cnn_large,clean,901,0.01,0.00911596231162548,0.0005327616635666574,nan,0.0010042190551757812,0.9347240332320013,False,False
k3_d2.0,position+grad,cnn_large,clean,901,0.003,0.01273184921592474,0.0004392003940111833,nan,0.0025534629821777344,0.9347700366339569,False,False
k3_d2.0,position+grad,cnn_large,clean,901,0.001,0.01892281137406826,0.0007248164769215863,nan,0.005313754081726074,0.9345955259666957,False,False
k3_d2.0,position+grad,cnn_large,clean,901,0.0003,0.05725044757127762,0.003144035352139824,nan,0.001303553581237793,0.9301221288126484,False,False
k3_d2.0,position+grad,cnn_large,mixed,900,0.01,0.005608778912574053,0.0009936972131873905,nan,0.0008009672164916992,0.9322877400205705,False,False
k3_d2.0,position+grad,cnn_large,mixed,900,0.003,0.0028944285586476326,0.0008610415953593549,nan,0.0009750127792358398,0.9330801845263588,False,False
k3_d2.0,position+grad,cnn_large,mixed,900,0.001,0.005085870623588562,0.001392489690048198,nan,0.0006514787673950195,0.9331139145994097,False,False
k3_d2.0,position+grad,cnn_large,mixed,900,0.0003,0.02085047774016857,0.001579503336882164,nan,0.0008437633514404297,0.9326007621573525,False,False
k3_d2.0,position+grad,cnn_large,mixed,901,0.01,0.0024995929561555386,8.846695374905733e-05,nan,0.002627134323120117,0.9329759120121527,False,False
k3_d2.0,position+grad,cnn_large,mixed,901,0.003,0.004127465188503265,0.0004117790700030679,nan,0.0015232563018798828,0.9329858691946123,False,False
k3_d2.0,position+grad,cnn_large,mixed,901,0.001,0.006664525717496872,0.0008879963849801068,nan,0.0023200511932373047,0.9327259258854327,False,False
k3_d2.0,position+grad,cnn_large,mixed,901,0.0003,0.0350385382771492,0.0028554629775343243,nan,0.0004898309707641602,0.9292213435804357,False,False
k3_d2.0,position+normal,cnn_small,clean,900,0.01,0.0037490890827029943,0.0001048487735422515,nan,0.0008327960968017578,0.9348557690731405,False,False
k3_d2.0,position+normal,cnn_small,clean,900,0.003,0.008152956143021584,0.00011967828164218637,nan,0.0007007122039794922,0.9347219268681521,False,False
k3_d2.0,position+normal,cnn_small,clean,900,0.001,0.01034543663263321,0.00048128420915554435,nan,0.0005174875259399414,0.9338678295558537,False,False
k3_d2.0,position+normal,cnn_small,clean,900,0.0003,0.012007887475192547,0.00030406124680537307,nan,0.0005075931549072266,0.9329501868750745,False,False
k3_d2.0,position+normal,cnn_small,clean,901,0.01,0.004910875111818314,8.208218565288684e-05,nan,0.0007162094116210938,0.9344565516556652,False,False
k3_d2.0,position+normal,cnn_small,clean,901,0.003,0.009421505965292454,0.00018757135313766365,nan,0.000905156135559082,0.9343658698733761,False,False
k3_d2.0,position+normal,cnn_small,clean,901,0.001,0.010454642586410046,0.0005067195754889345,nan,0.001129150390625,0.9339669534362371,False,False
k3_d2.0,position+normal,cnn_small,clean,901,0.0003,0.028085816651582718,0.0039646628819473275,nan,0.0003108978271484375,0.9294185451435139,False,False
k3_d2.0,position+normal,cnn_small,mixed,900,0.01,0.0008940523257479072,0.00033181010511983464,nan,0.0008559226989746094,0.9330258142459777,False,False
k3_d2.0,position+normal,cnn_small,mixed,900,0.003,0.001167762209661305,7.857723093404535e-05,nan,0.0002497434616088867,0.9330490875378301,False,False
k3_d2.0,position+normal,cnn_small,mixed,900,0.001,0.0014462830731645226,0.000270405071491947,nan,0.000826716423034668,0.9328707364746059,False,False
k3_d2.0,position+normal,cnn_small,mixed,900,0.0003,0.009567025117576122,0.00037871123119681067,nan,0.0005220174789428711,0.9311967159147809,False,False
k3_d2.0,position+normal,cnn_small,mixed,901,0.01,0.0011081527918577194,0.0007442166868332048,nan,0.0025786161422729492,0.932868619698242,False,False
k3_d2.0,position+normal,cnn_small,mixed,901,0.003,0.0013256102101877332,0.0003382257673591077,nan,0.0005877017974853516,0.9330092135688209,False,False
k3_d2.0,position+normal,cnn_small,mixed,901,0.001,0.0022635716013610363,0.0007420533475714873,nan,0.0005638599395751953,0.9328189487474872,False,False
k3_d2.0,position+normal,cnn_small,mixed,901,0.0003,0.006868166383355856,0.0002868482330404448,nan,0.00040411949157714844,0.9309586001081217,False,False
k3_d2.0,position+normal,cnn_large,clean,900,0.01,0.014129661954939365,0.0016995816428137967,nan,0.002663850784301758,0.9319565313089645,False,False
k3_d2.0,position+normal,cnn_large,clean,900,0.003,0.005888609681278467,0.0011481288048901814,nan,0.0022416114807128906,0.9344324383852181,False,False
